location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2023-03-01 00:00:00 +0100;Wednesday;8;-1;clear-night;
Ludgeristraße, Münster;2023-03-01 01:00:00 +0100;Wednesday;8;-2;clear-night;
Ludgeristraße, Münster;2023-03-01 02:00:00 +0100;Wednesday;7;-2;clear-night;
Ludgeristraße, Münster;2023-03-01 03:00:00 +0100;Wednesday;3;-3;clear-night;
Ludgeristraße, Münster;2023-03-01 04:00:00 +0100;Wednesday;13;-4;clear-night;
Ludgeristraße, Münster;2023-03-01 05:00:00 +0100;Wednesday;23;-4;clear-night;
Ludgeristraße, Münster;2023-03-01 06:00:00 +0100;Wednesday;74;-5;clear-night;
Ludgeristraße, Münster;2023-03-01 07:00:00 +0100;Wednesday;273;-3;clear-night;
Ludgeristraße, Münster;2023-03-01 08:00:00 +0100;Wednesday;398;-4;clear-day;
Ludgeristraße, Münster;2023-03-01 09:00:00 +0100;Wednesday;664;-2;clear-day;
Ludgeristraße, Münster;2023-03-01 10:00:00 +0100;Wednesday;1390;0;clear-day;
Ludgeristraße, Münster;2023-03-01 11:00:00 +0100;Wednesday;2256;2;clear-day;
Ludgeristraße, Münster;2023-03-01 12:00:00 +0100;Wednesday;2742;4;clear-day;
Ludgeristraße, Münster;2023-03-01 13:00:00 +0100;Wednesday;2884;6;clear-day;
Ludgeristraße, Münster;2023-03-01 14:00:00 +0100;Wednesday;2569;7;clear-day;
Ludgeristraße, Münster;2023-03-01 15:00:00 +0100;Wednesday;2427;7;clear-day;
Ludgeristraße, Münster;2023-03-01 16:00:00 +0100;Wednesday;2534;7;clear-day;
Ludgeristraße, Münster;2023-03-01 17:00:00 +0100;Wednesday;2498;6;clear-day;
Ludgeristraße, Münster;2023-03-01 18:00:00 +0100;Wednesday;1678;4;clear-day;
Ludgeristraße, Münster;2023-03-01 19:00:00 +0100;Wednesday;675;2;clear-night;
Ludgeristraße, Münster;2023-03-01 20:00:00 +0100;Wednesday;274;2;clear-night;
Ludgeristraße, Münster;2023-03-01 21:00:00 +0100;Wednesday;193;1;clear-night;
Ludgeristraße, Münster;2023-03-01 22:00:00 +0100;Wednesday;127;1;clear-night;
Ludgeristraße, Münster;2023-03-01 23:00:00 +0100;Wednesday;88;0;clear-night;
Ludgeristraße, Münster;2023-03-02 00:00:00 +0100;Thursday;33;0;clear-night;
Ludgeristraße, Münster;2023-03-02 01:00:00 +0100;Thursday;40;0;clear-night;
Ludgeristraße, Münster;2023-03-02 02:00:00 +0100;Thursday;17;0;clear-night;
Ludgeristraße, Münster;2023-03-02 03:00:00 +0100;Thursday;20;-1;clear-night;
Ludgeristraße, Münster;2023-03-02 04:00:00 +0100;Thursday;21;-1;clear-night;
Ludgeristraße, Münster;2023-03-02 05:00:00 +0100;Thursday;27;-2;clear-night;
Ludgeristraße, Münster;2023-03-02 06:00:00 +0100;Thursday;76;-2;clear-night;
Ludgeristraße, Münster;2023-03-02 07:00:00 +0100;Thursday;251;-3;clear-night;
Ludgeristraße, Münster;2023-03-02 08:00:00 +0100;Thursday;432;-2;clear-day;
Ludgeristraße, Münster;2023-03-02 09:00:00 +0100;Thursday;543;-1;clear-day;
Ludgeristraße, Münster;2023-03-02 10:00:00 +0100;Thursday;1108;2;clear-day;
Ludgeristraße, Münster;2023-03-02 11:00:00 +0100;Thursday;1844;3;clear-day;
Ludgeristraße, Münster;2023-03-02 12:00:00 +0100;Thursday;2245;5;clear-day;
Ludgeristraße, Münster;2023-03-02 13:00:00 +0100;Thursday;2371;7;clear-day;
Ludgeristraße, Münster;2023-03-02 14:00:00 +0100;Thursday;2282;8;clear-day;
Ludgeristraße, Münster;2023-03-02 15:00:00 +0100;Thursday;2380;9;clear-day;
Ludgeristraße, Münster;2023-03-02 16:00:00 +0100;Thursday;2642;8;clear-day;
Ludgeristraße, Münster;2023-03-02 17:00:00 +0100;Thursday;2335;7;clear-day;
Ludgeristraße, Münster;2023-03-02 18:00:00 +0100;Thursday;1504;5;clear-day;
Ludgeristraße, Münster;2023-03-02 19:00:00 +0100;Thursday;783;3;clear-night;
Ludgeristraße, Münster;2023-03-02 20:00:00 +0100;Thursday;207;3;clear-night;
Ludgeristraße, Münster;2023-03-02 21:00:00 +0100;Thursday;123;2;partly-cloudy-night;
