location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Rothenburg, Münster;2023-03-01 00:00:00 +0100;Wednesday;19;-1;clear-night;
Rothenburg, Münster;2023-03-01 01:00:00 +0100;Wednesday;5;-2;clear-night;
Rothenburg, Münster;2023-03-01 02:00:00 +0100;Wednesday;0;-2;clear-night;
Rothenburg, Münster;2023-03-01 03:00:00 +0100;Wednesday;5;-3;clear-night;
Rothenburg, Münster;2023-03-01 04:00:00 +0100;Wednesday;3;-4;clear-night;
Rothenburg, Münster;2023-03-01 05:00:00 +0100;Wednesday;29;-4;clear-night;
Rothenburg, Münster;2023-03-01 06:00:00 +0100;Wednesday;65;-5;clear-night;
Rothenburg, Münster;2023-03-01 07:00:00 +0100;Wednesday;414;-3;clear-night;
Rothenburg, Münster;2023-03-01 08:00:00 +0100;Wednesday;756;-4;clear-day;
Rothenburg, Münster;2023-03-01 09:00:00 +0100;Wednesday;1011;-2;clear-day;
Rothenburg, Münster;2023-03-01 10:00:00 +0100;Wednesday;1528;0;clear-day;
Rothenburg, Münster;2023-03-01 11:00:00 +0100;Wednesday;2129;2;clear-day;
Rothenburg, Münster;2023-03-01 12:00:00 +0100;Wednesday;2429;4;clear-day;
Rothenburg, Münster;2023-03-01 13:00:00 +0100;Wednesday;2589;6;clear-day;
Rothenburg, Münster;2023-03-01 14:00:00 +0100;Wednesday;2194;7;clear-day;
Rothenburg, Münster;2023-03-01 15:00:00 +0100;Wednesday;2201;7;clear-day;
Rothenburg, Münster;2023-03-01 16:00:00 +0100;Wednesday;2174;7;clear-day;
Rothenburg, Münster;2023-03-01 17:00:00 +0100;Wednesday;2004;6;clear-day;
Rothenburg, Münster;2023-03-01 18:00:00 +0100;Wednesday;1535;4;clear-day;
Rothenburg, Münster;2023-03-01 19:00:00 +0100;Wednesday;790;2;clear-night;
Rothenburg, Münster;2023-03-01 20:00:00 +0100;Wednesday;408;2;clear-night;
Rothenburg, Münster;2023-03-01 21:00:00 +0100;Wednesday;274;1;clear-night;
Rothenburg, Münster;2023-03-01 22:00:00 +0100;Wednesday;167;1;clear-night;
Rothenburg, Münster;2023-03-01 23:00:00 +0100;Wednesday;97;0;clear-night;
Rothenburg, Münster;2023-03-02 00:00:00 +0100;Thursday;47;0;clear-night;
Rothenburg, Münster;2023-03-02 01:00:00 +0100;Thursday;26;0;clear-night;
Rothenburg, Münster;2023-03-02 02:00:00 +0100;Thursday;21;0;clear-night;
Rothenburg, Münster;2023-03-02 03:00:00 +0100;Thursday;5;-1;clear-night;
Rothenburg, Münster;2023-03-02 04:00:00 +0100;Thursday;6;-1;clear-night;
Rothenburg, Münster;2023-03-02 05:00:00 +0100;Thursday;38;-2;clear-night;
Rothenburg, Münster;2023-03-02 06:00:00 +0100;Thursday;83;-2;clear-night;
Rothenburg, Münster;2023-03-02 07:00:00 +0100;Thursday;370;-3;clear-night;
Rothenburg, Münster;2023-03-02 08:00:00 +0100;Thursday;755;-2;clear-day;
Rothenburg, Münster;2023-03-02 09:00:00 +0100;Thursday;991;-1;clear-day;
Rothenburg, Münster;2023-03-02 10:00:00 +0100;Thursday;1387;2;clear-day;
Rothenburg, Münster;2023-03-02 11:00:00 +0100;Thursday;1750;3;clear-day;
Rothenburg, Münster;2023-03-02 12:00:00 +0100;Thursday;1967;5;clear-day;
Rothenburg, Münster;2023-03-02 13:00:00 +0100;Thursday;2260;7;clear-day;
Rothenburg, Münster;2023-03-02 14:00:00 +0100;Thursday;2155;8;clear-day;
Rothenburg, Münster;2023-03-02 15:00:00 +0100;Thursday;2313;9;clear-day;
Rothenburg, Münster;2023-03-02 16:00:00 +0100;Thursday;2207;8;clear-day;
Rothenburg, Münster;2023-03-02 17:00:00 +0100;Thursday;2053;7;clear-day;
Rothenburg, Münster;2023-03-02 18:00:00 +0100;Thursday;1334;5;clear-day;
Rothenburg, Münster;2023-03-02 19:00:00 +0100;Thursday;690;3;clear-night;
Rothenburg, Münster;2023-03-02 20:00:00 +0100;Thursday;341;3;clear-night;
Rothenburg, Münster;2023-03-02 21:00:00 +0100;Thursday;234;2;partly-cloudy-night;
Rothenburg, Münster;2023-03-02 22:00:00 +0100;Thursday;103;1;partly-cloudy-night;
Rothenburg, Münster;2023-03-02 23:00:00 +0100;Thursday;61;0;partly-cloudy-night;
Rothenburg, Münster;2023-03-03 00:00:00 +0100;Friday;23;-1;partly-cloudy-night;
Rothenburg, Münster;2023-03-03 01:00:00 +0100;Friday;19;-1;partly-cloudy-night;
Rothenburg, Münster;2023-03-03 02:00:00 +0100;Friday;7;-1;partly-cloudy-night;
