location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Salzstraße (West), Münster;2023-03-01 00:00:00 +0100;Wednesday;15;-1;clear-night;
Salzstraße (West), Münster;2023-03-01 01:00:00 +0100;Wednesday;4;-2;clear-night;
Salzstraße (West), Münster;2023-03-01 02:00:00 +0100;Wednesday;6;-2;clear-night;
Salzstraße (West), Münster;2023-03-01 03:00:00 +0100;Wednesday;1;-3;clear-night;
Salzstraße (West), Münster;2023-03-01 04:00:00 +0100;Wednesday;18;-4;clear-night;
Salzstraße (West), Münster;2023-03-01 05:00:00 +0100;Wednesday;20;-4;clear-night;
Salzstraße (West), Münster;2023-03-01 06:00:00 +0100;Wednesday;75;-5;clear-night;
Salzstraße (West), Münster;2023-03-01 07:00:00 +0100;Wednesday;240;-3;clear-night;
Salzstraße (West), Münster;2023-03-01 08:00:00 +0100;Wednesday;381;-4;clear-day;
Salzstraße (West), Münster;2023-03-01 09:00:00 +0100;Wednesday;591;-2;clear-day;
Salzstraße (West), Münster;2023-03-01 10:00:00 +0100;Wednesday;1088;0;clear-day;
Salzstraße (West), Münster;2023-03-01 11:00:00 +0100;Wednesday;1693;2;clear-day;
Salzstraße (West), Münster;2023-03-01 12:00:00 +0100;Wednesday;1999;4;clear-day;
Salzstraße (West), Münster;2023-03-01 13:00:00 +0100;Wednesday;1860;6;clear-day;
Salzstraße (West), Münster;2023-03-01 14:00:00 +0100;Wednesday;1747;7;clear-day;
Salzstraße (West), Münster;2023-03-01 15:00:00 +0100;Wednesday;1499;7;clear-day;
Salzstraße (West), Münster;2023-03-01 16:00:00 +0100;Wednesday;1594;7;clear-day;
Salzstraße (West), Münster;2023-03-01 17:00:00 +0100;Wednesday;1524;6;clear-day;
Salzstraße (West), Münster;2023-03-01 18:00:00 +0100;Wednesday;1183;4;clear-day;
Salzstraße (West), Münster;2023-03-01 19:00:00 +0100;Wednesday;624;2;clear-night;
Salzstraße (West), Münster;2023-03-01 20:00:00 +0100;Wednesday;315;2;clear-night;
Salzstraße (West), Münster;2023-03-01 21:00:00 +0100;Wednesday;180;1;clear-night;
Salzstraße (West), Münster;2023-03-01 22:00:00 +0100;Wednesday;154;1;clear-night;
Salzstraße (West), Münster;2023-03-01 23:00:00 +0100;Wednesday;79;0;clear-night;
Salzstraße (West), Münster;2023-03-02 00:00:00 +0100;Thursday;37;0;clear-night;
Salzstraße (West), Münster;2023-03-02 01:00:00 +0100;Thursday;34;0;clear-night;
Salzstraße (West), Münster;2023-03-02 02:00:00 +0100;Thursday;17;0;clear-night;
Salzstraße (West), Münster;2023-03-02 03:00:00 +0100;Thursday;17;-1;clear-night;
Salzstraße (West), Münster;2023-03-02 04:00:00 +0100;Thursday;8;-1;clear-night;
Salzstraße (West), Münster;2023-03-02 05:00:00 +0100;Thursday;22;-2;clear-night;
Salzstraße (West), Münster;2023-03-02 06:00:00 +0100;Thursday;78;-2;clear-night;
Salzstraße (West), Münster;2023-03-02 07:00:00 +0100;Thursday;185;-3;clear-night;
Salzstraße (West), Münster;2023-03-02 08:00:00 +0100;Thursday;344;-2;clear-day;
Salzstraße (West), Münster;2023-03-02 09:00:00 +0100;Thursday;457;-1;clear-day;
Salzstraße (West), Münster;2023-03-02 10:00:00 +0100;Thursday;929;2;clear-day;
Salzstraße (West), Münster;2023-03-02 11:00:00 +0100;Thursday;1153;3;clear-day;
Salzstraße (West), Münster;2023-03-02 12:00:00 +0100;Thursday;1518;5;clear-day;
Salzstraße (West), Münster;2023-03-02 13:00:00 +0100;Thursday;1614;7;clear-day;
Salzstraße (West), Münster;2023-03-02 14:00:00 +0100;Thursday;1656;8;clear-day;
Salzstraße (West), Münster;2023-03-02 15:00:00 +0100;Thursday;1592;9;clear-day;
Salzstraße (West), Münster;2023-03-02 16:00:00 +0100;Thursday;1559;8;clear-day;
Salzstraße (West), Münster;2023-03-02 17:00:00 +0100;Thursday;1525;7;clear-day;
Salzstraße (West), Münster;2023-03-02 18:00:00 +0100;Thursday;1149;5;clear-day;
Salzstraße (West), Münster;2023-03-02 19:00:00 +0100;Thursday;500;3;clear-night;
Salzstraße (West), Münster;2023-03-02 20:00:00 +0100;Thursday;228;3;clear-night;
Salzstraße (West), Münster;2023-03-02 21:00:00 +0100;Thursday;147;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-02 22:00:00 +0100;Thursday;113;1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-02 23:00:00 +0100;Thursday;46;0;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 00:00:00 +0100;Friday;21;-1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 01:00:00 +0100;Friday;23;-1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 02:00:00 +0100;Friday;7;-1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 03:00:00 +0100;Friday;1;0;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 04:00:00 +0100;Friday;10;-1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 05:00:00 +0100;Friday;16;-1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 06:00:00 +0100;Friday;73;0;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 07:00:00 +0100;Friday;201;-1;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 08:00:00 +0100;Friday;312;-1;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 09:00:00 +0100;Friday;473;0;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 10:00:00 +0100;Friday;821;2;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 11:00:00 +0100;Friday;1023;2;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 12:00:00 +0100;Friday;1470;3;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 13:00:00 +0100;Friday;1509;3;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 14:00:00 +0100;Friday;1452;4;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 15:00:00 +0100;Friday;1704;5;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 16:00:00 +0100;Friday;1822;6;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 17:00:00 +0100;Friday;1790;6;partly-cloudy-day;
Salzstraße (West), Münster;2023-03-03 18:00:00 +0100;Friday;1252;5;clear-day;
Salzstraße (West), Münster;2023-03-03 19:00:00 +0100;Friday;766;4;clear-night;
Salzstraße (West), Münster;2023-03-03 20:00:00 +0100;Friday;344;3;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 21:00:00 +0100;Friday;347;3;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 22:00:00 +0100;Friday;241;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-03 23:00:00 +0100;Friday;189;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 00:00:00 +0100;Saturday;169;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 01:00:00 +0100;Saturday;49;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 02:00:00 +0100;Saturday;53;3;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 03:00:00 +0100;Saturday;30;3;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 04:00:00 +0100;Saturday;16;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 05:00:00 +0100;Saturday;17;2;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 06:00:00 +0100;Saturday;29;3;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 07:00:00 +0100;Saturday;87;3;partly-cloudy-night;
Salzstraße (West), Münster;2023-03-04 08:00:00 +0100;Saturday;175;3;cloudy;
Salzstraße (West), Münster;2023-03-04 09:00:00 +0100;Saturday;572;4;cloudy;
Salzstraße (West), Münster;2023-03-04 10:00:00 +0100;Saturday;1388;4;cloudy;
Salzstraße (West), Münster;2023-03-04 11:00:00 +0100;Saturday;2508;5;cloudy;
Salzstraße (West), Münster;2023-03-04 12:00:00 +0100;Saturday;2763;6;cloudy;
Salzstraße (West), Münster;2023-03-04 13:00:00 +0100;Saturday;3568;6;cloudy;
Salzstraße (West), Münster;2023-03-04 14:00:00 +0100;Saturday;3832;7;cloudy;
Salzstraße (West), Münster;2023-03-04 15:00:00 +0100;Saturday;3727;7;cloudy;
Salzstraße (West), Münster;2023-03-04 16:00:00 +0100;Saturday;3390;6;cloudy;
Salzstraße (West), Münster;2023-03-04 17:00:00 +0100;Saturday;2720;6;cloudy;
Salzstraße (West), Münster;2023-03-04 18:00:00 +0100;Saturday;1975;5;cloudy;
Salzstraße (West), Münster;2023-03-04 19:00:00 +0100;Saturday;1061;5;cloudy;
Salzstraße (West), Münster;2023-03-04 20:00:00 +0100;Saturday;547;4;cloudy;
