location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Alter Fischmarkt, Münster;2021-01-01 00:00:00 +0100;Friday;77;1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 01:00:00 +0100;Friday;34;1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 02:00:00 +0100;Friday;14;1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 03:00:00 +0100;Friday;20;1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 04:00:00 +0100;Friday;7;0;cloudy;
Alter Fischmarkt, Münster;2021-01-01 05:00:00 +0100;Friday;5;0;cloudy;
Alter Fischmarkt, Münster;2021-01-01 06:00:00 +0100;Friday;5;-1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 07:00:00 +0100;Friday;5;-1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 08:00:00 +0100;Friday;7;-2;cloudy;
Alter Fischmarkt, Münster;2021-01-01 09:00:00 +0100;Friday;17;-1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 10:00:00 +0100;Friday;26;-1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 11:00:00 +0100;Friday;68;-1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 12:00:00 +0100;Friday;87;1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 13:00:00 +0100;Friday;99;1;cloudy;
Alter Fischmarkt, Münster;2021-01-01 14:00:00 +0100;Friday;124;3;partly-cloudy-day;
Alter Fischmarkt, Münster;2021-01-01 15:00:00 +0100;Friday;172;3;partly-cloudy-day;
Alter Fischmarkt, Münster;2021-01-01 16:00:00 +0100;Friday;222;2;partly-cloudy-day;
Alter Fischmarkt, Münster;2021-01-01 17:00:00 +0100;Friday;138;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-01 18:00:00 +0100;Friday;79;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-01 19:00:00 +0100;Friday;58;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-01 20:00:00 +0100;Friday;23;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-01 21:00:00 +0100;Friday;19;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-01 22:00:00 +0100;Friday;19;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-01 23:00:00 +0100;Friday;9;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 00:00:00 +0100;Saturday;1;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 01:00:00 +0100;Saturday;1;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 02:00:00 +0100;Saturday;1;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 03:00:00 +0100;Saturday;5;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 04:00:00 +0100;Saturday;0;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 05:00:00 +0100;Saturday;6;2;cloudy;
Alter Fischmarkt, Münster;2021-01-02 06:00:00 +0100;Saturday;9;2;cloudy;
Alter Fischmarkt, Münster;2021-01-02 07:00:00 +0100;Saturday;7;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 08:00:00 +0100;Saturday;58;1;cloudy;
Alter Fischmarkt, Münster;2021-01-02 09:00:00 +0100;Saturday;110;1;cloudy;
Alter Fischmarkt, Münster;2021-01-02 10:00:00 +0100;Saturday;183;2;cloudy;
Alter Fischmarkt, Münster;2021-01-02 11:00:00 +0100;Saturday;343;2;cloudy;
Alter Fischmarkt, Münster;2021-01-02 12:00:00 +0100;Saturday;396;2;cloudy;
Alter Fischmarkt, Münster;2021-01-02 13:00:00 +0100;Saturday;341;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 14:00:00 +0100;Saturday;321;4;cloudy;
Alter Fischmarkt, Münster;2021-01-02 15:00:00 +0100;Saturday;293;4;cloudy;
Alter Fischmarkt, Münster;2021-01-02 16:00:00 +0100;Saturday;236;4;cloudy;
Alter Fischmarkt, Münster;2021-01-02 17:00:00 +0100;Saturday;199;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 18:00:00 +0100;Saturday;104;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 19:00:00 +0100;Saturday;67;3;cloudy;
Alter Fischmarkt, Münster;2021-01-02 20:00:00 +0100;Saturday;49;2;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 21:00:00 +0100;Saturday;24;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 22:00:00 +0100;Saturday;30;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-02 23:00:00 +0100;Saturday;22;0;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-03 00:00:00 +0100;Sunday;8;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-03 01:00:00 +0100;Sunday;2;1;partly-cloudy-night;
Alter Fischmarkt, Münster;2021-01-03 02:00:00 +0100;Sunday;5;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 03:00:00 +0100;Sunday;6;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 04:00:00 +0100;Sunday;2;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 05:00:00 +0100;Sunday;3;3;cloudy;
Alter Fischmarkt, Münster;2021-01-03 06:00:00 +0100;Sunday;2;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 07:00:00 +0100;Sunday;9;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 08:00:00 +0100;Sunday;9;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 09:00:00 +0100;Sunday;23;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 10:00:00 +0100;Sunday;41;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 11:00:00 +0100;Sunday;97;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 12:00:00 +0100;Sunday;106;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 13:00:00 +0100;Sunday;159;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 14:00:00 +0100;Sunday;150;3;cloudy;
Alter Fischmarkt, Münster;2021-01-03 15:00:00 +0100;Sunday;151;3;cloudy;
Alter Fischmarkt, Münster;2021-01-03 16:00:00 +0100;Sunday;130;2;cloudy;
Alter Fischmarkt, Münster;2021-01-03 17:00:00 +0100;Sunday;95;2;fog;
Alter Fischmarkt, Münster;2021-01-03 18:00:00 +0100;Sunday;33;2;rain;
Alter Fischmarkt, Münster;2021-01-03 19:00:00 +0100;Sunday;31;2;rain;
Alter Fischmarkt, Münster;2021-01-03 20:00:00 +0100;Sunday;31;2;rain;
Alter Fischmarkt, Münster;2021-01-03 21:00:00 +0100;Sunday;14;2;rain;
Alter Fischmarkt, Münster;2021-01-03 22:00:00 +0100;Sunday;13;2;rain;
Alter Fischmarkt, Münster;2021-01-03 23:00:00 +0100;Sunday;8;2;cloudy;
Alter Fischmarkt, Münster;2021-01-04 00:00:00 +0100;Monday;2;1;fog;
Alter Fischmarkt, Münster;2021-01-04 01:00:00 +0100;Monday;2;1;fog;
Alter Fischmarkt, Münster;2021-01-04 02:00:00 +0100;Monday;1;1;fog;
Alter Fischmarkt, Münster;2021-01-04 03:00:00 +0100;Monday;2;2;fog;
Alter Fischmarkt, Münster;2021-01-04 04:00:00 +0100;Monday;1;2;fog;
Alter Fischmarkt, Münster;2021-01-04 05:00:00 +0100;Monday;10;2;fog;
Alter Fischmarkt, Münster;2021-01-04 06:00:00 +0100;Monday;24;1;fog;
Alter Fischmarkt, Münster;2021-01-04 07:00:00 +0100;Monday;76;1;fog;
Alter Fischmarkt, Münster;2021-01-04 08:00:00 +0100;Monday;100;1;fog;
Alter Fischmarkt, Münster;2021-01-04 09:00:00 +0100;Monday;124;1;cloudy;
Alter Fischmarkt, Münster;2021-01-04 10:00:00 +0100;Monday;174;1;cloudy;
Alter Fischmarkt, Münster;2021-01-04 11:00:00 +0100;Monday;202;2;cloudy;
Alter Fischmarkt, Münster;2021-01-04 12:00:00 +0100;Monday;252;2;cloudy;
Alter Fischmarkt, Münster;2021-01-04 13:00:00 +0100;Monday;275;2;fog;
