location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ludgeristraße, Münster;2019-01-01 00:00:00 +0100;Tuesday;1125;8;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 01:00:00 +0100;Tuesday;303;8;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 02:00:00 +0100;Tuesday;138;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 03:00:00 +0100;Tuesday;152;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 04:00:00 +0100;Tuesday;90;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 05:00:00 +0100;Tuesday;62;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 06:00:00 +0100;Tuesday;30;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 07:00:00 +0100;Tuesday;37;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 08:00:00 +0100;Tuesday;28;7;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 09:00:00 +0100;Tuesday;33;7;fog;
Ludgeristraße, Münster;2019-01-01 10:00:00 +0100;Tuesday;63;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 11:00:00 +0100;Tuesday;134;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 12:00:00 +0100;Tuesday;187;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 13:00:00 +0100;Tuesday;277;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 14:00:00 +0100;Tuesday;487;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 15:00:00 +0100;Tuesday;540;8;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 16:00:00 +0100;Tuesday;437;7;partly-cloudy-day;
Ludgeristraße, Münster;2019-01-01 17:00:00 +0100;Tuesday;360;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 18:00:00 +0100;Tuesday;224;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 19:00:00 +0100;Tuesday;175;6;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 20:00:00 +0100;Tuesday;107;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 21:00:00 +0100;Tuesday;68;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 22:00:00 +0100;Tuesday;49;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-01 23:00:00 +0100;Tuesday;20;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-02 00:00:00 +0100;Wednesday;11;5;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-02 01:00:00 +0100;Wednesday;8;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-02 02:00:00 +0100;Wednesday;5;4;partly-cloudy-night;
Ludgeristraße, Münster;2019-01-02 03:00:00 +0100;Wednesday;10;5;partly-cloudy-night;
